"created_at","id","text","user_id","user_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Sat Apr 07 23:52:58 +0000 2018","982768225095045100","RT @Marvel: Where will you be when it all ends? See Marvel Studios' @Avengers: #InfinityWar in theaters April 27. Get tickets now: https://…","385937450","#LOVE_YOURSELF","Seoul, Indonesia","270","88","Thu Oct 06 11:56:19 +0000 2011","Seoul","0A0A0A","http://pbs.twimg.com/profile_images/967287984604131333/3w2cwFnA_normal.jpg","null","null","null"
"Sat Apr 07 23:52:59 +0000 2018","982768228182048800","On my death bed, I’m not ready for this https://t.co/VYd10yBrxY","1924971764","Marissa🔮","Australia","5146","4744","Tue Oct 01 23:29:28 +0000 2013","Brisbane","C0DEED","http://pbs.twimg.com/profile_images/981694340236959744/1_LX3g6b_normal.jpg","null","null","null"
"Sat Apr 07 23:53:00 +0000 2018","982768233479467000","RT @Thai_SuperHero: หนัง The Avengers: Infinity War เป็นเรท PG-13 

ไม่ใช่เรื่องหนังแปลกใจสำหรับหนัง MCU นะครับ แต่ก็มาอัพเดทไว้เผื่อใครยัง…","2901762655","นฟ","null","491","200","Sun Nov 16 14:20:09 +0000 2014","null","000000","http://pbs.twimg.com/profile_images/980377108953231367/reSUgZ0V_normal.jpg","null","null","null"
"Sat Apr 07 23:53:00 +0000 2018","982768235522265100","See SVCC 2018 cosplay: Avengers, Star Wars and Game of Thrones     – CNET https://t.co/e35ARcWVoF","1158286658","iTruck NEWS","Chattanooga, TN","4359","1778","Thu Feb 07 21:12:25 +0000 2013","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/729820162615037953/yZpZ8Wzj_normal.jpg","null","null","null"
"Sat Apr 07 23:53:01 +0000 2018","982768237015269400","RT @MarvelStudios: Where will you be when it all ends? See @Avengers: #InfinityWar in theaters April 27, get tickets now: https://t.co/xQsJ…","314546241","AKKO👓","null","189","259","Fri Jun 10 12:43:58 +0000 2011","null","B2DFDA","http://pbs.twimg.com/profile_images/862344941556707328/K-tBf2lZ_normal.jpg","null","null","null"
